CIC_MEM_VERS = 1.0
CREATION_DATE  = 2009-12-08T09:00:00
ORIGINATOR     = SPACEBEL
 
META_START

COMMENT Cic infos

OBJECT_NAME = CubeSat
OBJECT_ID = CubeSat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SATELLITE_ECLIPSE

TIME_SYSTEM = UTC

META_STOP

55276  20000.000    0
55276  20200.000    0
55276  20400.000    0
55276  20600.000    0
55276  20641.461    2
55276  20664.933    1
55276  20800.000    1
55276  21000.000    1
55276  21200.000    1
55276  21400.000    1
55276  21600.000    1
55276  21800.000    1
55276  22000.000    1
55276  22200.000    1
55276  22400.000    1
55276  22600.000    1
55276  22686.769    2
55276  22710.538    0
55276  22800.000    0
55276  23000.000    0
55276  23200.000    0
55276  23400.000    0
55276  23600.000    0
55276  23800.000    0
55276  24000.000    0
55276  24200.000    0
55276  24400.000    0
55276  24600.000    0
55276  24800.000    0
55276  25000.000    0
55276  25200.000    0
55276  25400.000    0
55276  25600.000    0
55276  25800.000    0
55276  26000.000    0
55276  26200.000    0
55276  26400.000    0
55276  26599.610    2
55276  26622.758    1
55276  26800.000    1
55276  27000.000    1
55276  27200.000    1
55276  27400.000    1
55276  27600.000    1
55276  27800.000    1
55276  28000.000    1
55276  28200.000    1
55276  28400.000    1
55276  28600.000    1
55276  28644.536    2
55276  28668.074    0
55276  28800.000    0
55276  29000.000    0
55276  29200.000    0
55276  29400.000    0
55276  29600.000    0
55276  29800.000    0
55276  30000.000    0
55276  30200.000    0
55276  30400.000    0
55276  30600.000    0
55276  30800.000    0
55276  31000.000    0
55276  31200.000    0
55276  31400.000    0
55276  31600.000    0
55276  31800.000    0
55276  32000.000    0
55276  32200.000    0
55276  32400.000    0
55276  32558.061    2
55276  32580.896    1
55276  32600.000    1
55276  32800.000    1
55276  33000.000    1
55276  33200.000    1
55276  33400.000    1
55276  33600.000    1
55276  33800.000    1
55276  34000.000    1
55276  34200.000    1
55276  34400.000    1
55276  34600.000    1
55276  34602.965    2
55276  34625.389    0
55276  34800.000    0
55276  35000.000    0
55276  35200.000    0
55276  35400.000    0
55276  35600.000    0
55276  35800.000    0
55276  36000.000    0
55276  36200.000    0
55276  36400.000    0
55276  36600.000    0
55276  36800.000    0
55276  37000.000    0
