CIC_MEM_VERS = 1.0
CREATION_DATE  = 2009-12-08T09:00:00
ORIGINATOR     = SPACEBEL
 
META_START

COMMENT Cic infos

OBJECT_NAME = CubeSat
OBJECT_ID = CubeSat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = ROTATION_ANGLE_SA_1

TIME_SYSTEM = UTC

META_STOP

55275 85516.3872  -180
55276   607.9104   -90
55276  2099.4336     0
55276  3590.9568    90
55276  5082.5664  -180
55276  6574.0896   -90
55276  8065.6128     0
55276  9557.136     90
55276 11048.6592  -180
55276 12540.1824   -90
55276 14031.792      0
55276 15523.3152    90
55276 17014.8384  -180
55276 18506.3616   -90
55276 19997.8848     0
55276 21489.408     90
55276 22981.0176  -180
55276 24472.5408   -90
55276 25964.064      0
55276 27455.5872    90
55276 28947.1104  -180
55276 30438.72     -90
55276 31930.2432     0
55276 33421.7664    90
55276 34913.2896  -180
55276 36404.8128   -90
55276 37896.336      0
55276 39387.9456    90
55276 40879.4688  -180
55276 42370.992    -90
55276 43862.5152     0
55276 45354.0384    90
55276 46845.5616  -180
55276 48337.1712   -90
55276 49828.6944     0
55276 51320.2176    90
55276 52811.7408  -180
55276 54303.264    -90
55276 55794.7872     0
55276 57286.3968    90
55276 58777.92    -180
55276 60269.4432   -90
55276 61760.9664     0
55276 63252.4896    90
55276 64744.0128  -180
55276 66235.6224   -90
55276 67727.1456     0
55276 69218.6688    90
55276 70710.192   -180
55276 72201.7152   -90
55276 73693.3248     0
55276 75184.848     90
55276 76676.3712  -180
55276 78167.8944   -90
55276 79659.4176     0
55276 81150.9408    90
55276 82642.5504  -180
55276 84134.0736   -90
55276 85625.5968     0
55277   717.12      90
55277  2208.6432  -180
55277  3700.1664   -90
55277  5191.776      0
55277  6683.2992    90
55277  8174.8224  -180
55277  9666.3456   -90
55277 11157.8688     0
55277 12649.392     90
55277 14141.0016  -180
55277 15632.5248   -90
55277 17124.048      0
55277 18615.5712    90
55277 20107.0944  -180
55277 21598.6176   -90
55277 23090.2272     0
55277 24581.7504    90
55277 26073.2736  -180
55277 27564.7968   -90
55277 29056.32       0
55277 30547.9296    90
55277 32039.4528  -180
55277 33530.976    -90
55277 35022.4992     0
55277 36514.0224    90
55277 38005.5456  -180
55277 39497.1552   -90
55277 40988.6784     0
55277 42480.2016    90
55277 43971.7248  -180
55277 45463.248    -90
55277 46954.7712     0
55277 48446.3808    90
55277 49937.904   -180
55277 51429.4272   -90
55277 52920.9504     0
55277 54412.4736    90
55277 55903.9968  -180
55277 57395.6064   -90
55277 58887.1296     0
55277 60378.6528    90
55277 61870.176   -180
55277 63361.6992   -90
55277 64853.2224     0
55277 66344.832     90
55277 67836.3552  -180
55277 69327.8784   -90
55277 70819.4016     0
55277 72310.9248    90
55277 73802.5344  -180
55277 75294.0576   -90
55277 76785.5808     0
55277 78277.104     90
55277 79768.6272  -180
55277 81260.1504   -90
