CIC_MEM_VERS = 1.0
CREATION_DATE  = 2009-12-08T09:00:00
ORIGINATOR     = SPACEBEL
 
META_START

COMMENT Cic infos

OBJECT_NAME = CubeSat
OBJECT_ID = CubeSat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = ROTATION_ANGLE_SA_1

TIME_SYSTEM = UTC

META_STOP

55276  8065.6128 0
55276  9557.136 90
55276  11048.6592 -180
55276  12540.1824 -90
55276  14031.792 0
55276  15523.3152 90
55276  17014.8384 -180
55276  18506.3616 -90
55276  19997.8848 0
55276  21489.408 90
55276  22981.0176 -180
55276  24472.5408 -90
55276  25964.064 0
55276  27455.5872 90
55276  28947.1104 -180
55276  30438.72 -90
55276  31930.2432 0
55276  33421.7664 90
55276  34913.2896 -180
55276  36404.8128 -90
55276  37896.336 0
55276  39387.9456 90
55276  40879.4688 -180
55276  42370.992 -90
55276  43862.5152 0
55276  45354.0384 90
55276  46845.5616 -180
55276  48337.1712 -90
55276  49828.6944 0
