CIC_OEM_VERS = 2.0
CREATION_DATE = 2011-12-08T17:24:51.012783
ORIGINATOR = VTS Propagated Orbit

META_START

OBJECT_NAME = UNKNOWN
OBJECT_ID = UNKNOWN
CENTER_NAME = UNDEFINED
REF_FRAME = EME2000
TIME_SYSTEM = UTC

META_STOP

55276 0 2667.17632367761 1539.89493448482 -6150.19842008497
55276 60 2360.18319320873 2058.05770639422 -6136.65414979038
55276 120 2042.84294447077 2567.20348182728 -6096.21217782587
55276 180 1716.67319061284 3065.26596941891 -6029.43393951406
55276 240 1383.2552730262 3550.40776745488 -5937.2196236515
55276 300 1044.18076711569 4021.06434257373 -5820.75957062506
55276 360 701.002469990188 4475.96914275072 -5681.47458463213
55276 420 355.193303233502 4914.16015902369 -5520.9514113389
55276 480 8.11510517223272 5334.97029806539 -5340.87915406484
55276 540 -339.002165098624 5738.00521535578 -5142.9911758924
55276 600 -685.071472344653 6123.11273498515 -4929.01546532315
55276 660 -1029.15144217903 6490.34778748481 -4700.6348941302
55276 720 -1370.44261156075 6839.9361665847 -4459.45751375286
55276 780 -1708.27906045236 7172.23957908313 -4206.99613071598
55276 840 -2042.11711610805 7487.7236272039 -3944.65587270062
55276 900 -2371.52252767191 7786.92963702618 -3673.72824029494
55276 960 -2696.15717943618 8070.45068227721 -3395.39014556532
55276 1020 -3015.76609983646 8338.91175605019 -3110.70658078386
55276 1080 -3330.16525838479 8592.95379320904 -2820.63576930814
55276 1140 -3639.23043413738 8833.22111165358 -2526.03587698839
55276 1200 -3942.88728536339 9060.35178856953 -2227.67257671694
55276 1260 -4241.10264335729 9274.97048995134 -1926.22694546441
55276 1320 -4533.87698427356 9477.68330598845 -1622.30332683735
55276 1380 -4821.23799208157 9669.07419551282 -1316.43691324933
55276 1440 -5103.23510511319 9849.70269905221 -1009.10089372763
55276 1500 -5379.93493169686 10020.1026356001 -700.713080929217
55276 1560 -5651.41742212364 10180.781549369 -391.641978987291
55276 1620 -5917.77269111986 10332.2207178334 -82.2122867991039
55276 1680 -6179.09839465294 10474.8755708138 227.290146943652
55276 1740 -6435.49757564003 10609.1764024098 536.613887246346
55276 1800 -6687.07690393299 10735.5292838686 845.537957541208
55276 1860 -6933.94524620963 10854.3171067016 1153.86832491063
55276 1920 -7176.21251078071 10965.900702323 1461.43478434876
55276 1980 -7413.98872068744 11070.6199978969 1768.08820167776
55276 2040 -7647.38327578761 11168.7951786014 2073.69807689556
55276 2100 -7876.50437085526 11260.7278347062 2378.15039250054
55276 2160 -8101.45854212991 11346.7020781759 2681.34571438443
55276 2220 -8322.35031933959 11426.9856183585 2983.1975159867
55276 2280 -8539.28196409717 11501.8307899944 3283.63069943072
55276 2340 -8752.35327881768 11571.4755295492 3582.58029021657
55276 2400 -8961.66147302473 11636.1442979365 3879.990284693
55276 2460 -9167.30107618324 11696.0489492046 4175.81263194496
55276 2520 -9369.36388808354 11751.3895458557 4470.00633390998
55276 2580 -9567.93895937154 11802.3551222305 4762.53664948516
55276 2640 -9763.11259612279 11849.1243979135 5053.37439011861
55276 2700 -9954.96838343756 11891.8664434514 5342.49529591063
55276 2760 -10143.5872239298 11930.7413008735 5629.87948260164
55276 2820 -10329.0473877228 11965.9005615984 5915.51095100925
55276 2880 -10511.4245711794 11997.4879043296 6199.37715151988
55276 2940 -10690.791962099 12025.6395955093 6481.4685971506
55276 3000 -10867.2203095366 12050.4849548263 6761.77851949552
55276 3060 -11040.7779967429 12072.1467881766 7040.30256256831
55276 3120 -11211.5311160119 12090.7417903606 7317.03851016132
55276 3180 -11379.5435444606 12106.3809196774 7591.98604287501
55276 3240 -11544.8770199564 12119.1697464483 7865.14652143634
55276 3300 -11707.5912165737 12129.2087773729 8136.52279333133
55276 3360 -11867.7438190887 12136.5937574944 8406.11902013282
55276 3420 -12025.3905961349 12141.4159514276 8673.94052321563
55276 3480 -12180.5854717265 12143.7624053866 8939.9936458232
55276 3540 -12333.380594935 12143.7161914331 9204.28562968871
55276 3600 -12483.8264075589 12141.3566352666 9466.82450462257
55276 3660 -12631.9717096804 12136.7595287727 9727.61898966141
55276 3720 -12777.8637230382 12129.9973284567 9986.67840453513
55276 3780 -12921.5481521806 12121.1393408013 10244.0125903497
55276 3840 -13063.0692433865 12110.2518955084 10499.6318385081
55276 3900 -13202.4698413634 12097.3985075099 10753.5468270009
55276 3960 -13339.791443748 12082.6400285631 11005.7685632961
55276 4020 -13475.0742534478 12066.0347891851 11256.3083331399
55276 4080 -13608.3572288692 12047.6387316189 11505.1776546594
55276 4140 -13739.6781320889 12027.5055344729 11752.3882372208
55276 4200 -13869.0735750291 12005.6867296251 11997.9519445589
55276 4260 -13996.5790636977 11982.2318119354 12241.8807617418
55276 4320 -14122.2290405633 11957.188342272 12484.1867655856
55276 4380 -14246.0569251308 11930.6020443139 12724.8820981706
55276 4440 -14368.095152787 11902.5168955615 12963.9789431497
55276 4500 -14488.375211983 11872.9752129494 13201.48950457
55276 4560 -14606.927679823 11842.0177334296 13437.4259879595
55276 4620 -14723.7822561244 11809.6836898647 13671.8005834539
55276 4680 -14838.9677960143 11776.0108825424 13904.6254507637
55276 4740 -14952.5123411268 11741.0357466048 14135.9127058005
55276 4800 -15064.4431494613 11704.7934156595 14365.6744088005
55276 4860 -15174.7867239621 11667.3177818221 14593.9225537988
55276 4920 -15283.5688398763 11628.6415524217 14820.6690593235
55276 4980 -15390.8145709448 11588.7963035837 15045.9257601902
55276 5040 -15496.5483144811 11547.8125308883 15269.7044002912
55276 5100 -15600.7938153863 11505.71969729 15492.0166262819
55276 5160 -15703.5741891515 11462.5462784693 15712.873982078
55276 5220 -15804.9119438926 11418.3198057768 15932.2879040845
55276 5280 -15904.8290014633 11373.0669069175 16150.2697170862
55276 5340 -16003.3467176874 11326.8133445134 16366.8306307342
55276 5400 -16100.485901753 11279.5840526742 16581.9817365711
