CIC_MEM_VERS = 1.0
CREATION_DATE  = 2012-03-29T11:35:52.253
ORIGINATOR     = CNES - DCT/SB/MS

META_START

OBJECT_NAME = CIC-Sat
OBJECT_ID = CIC-Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = ROTATION_ANGLE_SA_1
TIME_SYSTEM = UTC

META_STOP

57578 0.00000 0.00106
57578 10.00000 0.00110
57578 20.00000 0.00113
57578 30.00000 0.00117
57578 40.00000 0.00120
57578 50.00000 0.00124
57578 60.00000 0.00128
57578 70.00000 0.00131
57578 80.00000 0.00135
57578 90.00000 0.00139
57578 100.00000 0.00142
57578 110.00000 0.00146
57578 120.00000 0.00149
57578 130.00000 0.00153
57578 140.00000 0.00156
57578 150.00000 0.00159
57578 160.00000 0.00162
57578 170.00000 0.00166
57578 180.00000 0.00169
57578 190.00000 0.00172
57578 200.00000 0.00174
57578 210.00000 0.00177
57578 220.00000 0.00180
57578 230.00000 0.00182
57578 240.00000 0.00185
57578 250.00000 0.00187
57578 260.00000 0.00189
57578 270.00000 0.00191
57578 280.00000 0.00192
57578 290.00000 0.00194
57578 300.00000 0.00195
57578 310.00000 0.00196
57578 320.00000 0.00197
57578 330.00000 0.00198
57578 340.00000 0.00199
57578 350.00000 0.00199
57578 360.00000 0.00199
57578 370.00000 0.00199
57578 380.00000 0.00199
57578 390.00000 0.00198
57578 400.00000 0.00198
57578 410.00000 0.00197
57578 420.00000 0.00196
57578 430.00000 0.00194
57578 440.00000 0.00193
57578 450.00000 0.00191
57578 460.00000 0.00188
57578 470.00000 0.00186
57578 480.00000 0.00183
57578 490.00000 0.00181
57578 500.00000 0.00178
57578 510.00000 0.00174
57578 520.00000 0.00171
57578 530.00000 0.00167
57578 540.00000 0.00163
57578 550.00000 0.00159
57578 560.00000 0.00154
57578 570.00000 0.00149
57578 580.00000 0.00144
57578 590.00000 0.00139
57578 600.00000 0.00134
57578 610.00000 0.00128
57578 620.00000 0.00123
57578 630.00000 0.00117
57578 640.00000 0.00110
57578 650.00000 0.00104
57578 660.00000 0.00098
57578 670.00000 0.00091
57578 680.00000 0.00084
57578 690.00000 0.00077
57578 700.00000 0.00070
57578 710.00000 0.00063
57578 720.00000 0.00056
57578 730.00000 0.00048
57578 740.00000 0.00041
57578 750.00000 0.00033
57578 760.00000 0.00025
57578 770.00000 0.00017
57578 780.00000 0.00009
57578 790.00000 0.00001
57578 800.00000 -0.00007
57578 810.00000 -0.00015
57578 820.00000 -0.00023
57578 830.00000 -0.00031
57578 840.00000 -0.00039
57578 850.00000 -0.00047
57578 860.00000 -0.00055
57578 870.00000 -0.00063
57578 880.00000 -0.00071
57578 890.00000 -0.00079
57578 900.00000 -0.00087
57578 910.00000 -0.00095
57578 920.00000 -0.00102
57578 930.00000 -0.00110
57578 940.00000 -0.00117
57578 950.00000 -0.00125
57578 960.00000 -0.00132
57578 970.00000 -0.00139
57578 980.00000 -0.00146
57578 990.00000 -0.00153
57578 1000.00000 -0.00160
57578 1010.00000 -0.00166
57578 1020.00000 -0.00173
57578 1030.00000 -0.00179
57578 1040.00000 -0.00185
57578 1050.00000 -0.00190
57578 1060.00000 -0.00196
57578 1070.00000 -0.00201
57578 1080.00000 -0.00206
57578 1090.00000 -0.00211
57578 1100.00000 -0.00216
57578 1110.00000 -0.00220
57578 1120.00000 -0.00224
57578 1130.00000 -0.00228
57578 1140.00000 -0.00232
57578 1150.00000 -0.00235
57578 1160.00000 -0.00238
57578 1170.00000 -0.00241
57578 1180.00000 -0.00243
57578 1190.00000 -0.00246
57578 1200.00000 -0.00248
57578 1210.00000 -0.00249
57578 1220.00000 -0.00251
57578 1230.00000 -0.00252
57578 1240.00000 -0.00253
57578 1250.00000 -0.00253
57578 1260.00000 -0.00254
57578 1270.00000 -0.00254
57578 1280.00000 -0.00253
57578 1290.00000 -0.00253
57578 1300.00000 -0.00252
57578 1310.00000 -0.00251
57578 1320.00000 -0.00250
57578 1330.00000 -0.00248
57578 1340.00000 -0.00246
57578 1350.00000 -0.00244
57578 1360.00000 -0.00242
57578 1370.00000 -0.00239
57578 1380.00000 -0.00236
57578 1390.00000 -0.00233
57578 1400.00000 -0.00230
57578 1410.00000 -0.00226
57578 1420.00000 -0.00222
57578 1430.00000 -0.00219
57578 1440.00000 -0.00214
57578 1450.00000 -0.00210
57578 1460.00000 -0.00206
57578 1470.00000 -0.00201
57578 1480.00000 -0.00196
57578 1490.00000 -0.00191
57578 1500.00000 -0.00186
57578 1510.00000 -0.00181
57578 1520.00000 -0.00175
57578 1530.00000 -0.00170
57578 1540.00000 -0.00164
57578 1550.00000 -0.00158
57578 1560.00000 -0.00152
57578 1570.00000 -0.00146
57578 1580.00000 -0.00140
57578 1590.00000 -0.00134
57578 1600.00000 -0.00128
57578 1610.00000 -0.00122
57578 1620.00000 -0.00116
57578 1630.00000 -0.00110
57578 1640.00000 -0.00103
57578 1650.00000 -0.00097
57578 1660.00000 -0.00091
57578 1670.00000 -0.00085
57578 1680.00000 -0.00078
57578 1690.00000 -0.00072
57578 1700.00000 -0.00066
57578 1710.00000 -0.00060
57578 1720.00000 -0.00054
57578 1730.00000 -0.00048
57578 1740.00000 -0.00042
57578 1750.00000 -0.00036
57578 1760.00000 -0.00031
57578 1770.00000 -0.00025
57578 1780.00000 -0.00019
57578 1790.00000 -0.00014
57578 1800.00000 -0.00009
57578 1810.00000 -0.00003
57578 1820.00000 0.00002
57578 1830.00000 0.00007
57578 1840.00000 0.00011
57578 1850.00000 0.00016
57578 1860.00000 0.00021
57578 1870.00000 0.00025
57578 1880.00000 0.00029
57578 1890.00000 0.00033
57578 1900.00000 0.00037
57578 1910.00000 0.00041
57578 1920.00000 0.00045
57578 1930.00000 0.00048
57578 1940.00000 0.00051
57578 1950.00000 0.00055
57578 1960.00000 0.00058
57578 1970.00000 0.00060
57578 1980.00000 0.00063
57578 1990.00000 0.00065
57578 2000.00000 0.00068
57578 2010.00000 0.00070
57578 2020.00000 0.00072
57578 2030.00000 0.00074
