CIC_MEM_VERS	=	1.0																			
CREATION_DATE	=	2012-03-29T11:35:51.065																			
ORIGINATOR	=	CNES	- DCT/DA/PA-																	

META_START
																					
COMMENT																					
COMMENT	Consumed power :
COMMENT	SURVIE VEILLE        : 68 W
COMMENT	VEILLE               : 103 W
COMMENT	ACQUISITION          : 137 W
COMMENT	MANOEUVRE D'ATTITUDE : 110 W
COMMENT	TRANSMISSION BANDE S : 118 W
COMMENT	TRANSMISSION BANDE X : 173 W
COMMENT
						
OBJECT_NAME	=	CIC-Sat																			
OBJECT_ID	=	CIC-Sat																			

USER_DEFINED_PROTOCOL	=	CIC																			
USER_DEFINED_CONTENT	=	SATELLITE_CONSUMED_POWER

TIME_SYSTEM	=	UTC
																			
META_STOP		

57578	0	68
57578	10	68
57578	20	68
57578	30	68
57578	40	68
57578	50	68
57578	60	68
57578	70	68
57578	80	68
57578	90	68
57578	100	68
57578	110	68
57578	120	68
57578	130	68
57578	140	68
57578	150	68
57578	160	68
57578	170	68
57578	180	68
57578	190	68
57578	200	68
57578	210	68
57578	220	68
57578	230	68
57578	240	68
57578	250	68
57578	260	68
57578	270	68
57578	280	68
57578	290	68
57578	300	68
57578	310	68
57578	320	68
57578	330	68
57578	340	68
57578	350	68
57578	360	68
57578	370	68
57578	380	68
57578	390	68
57578	400	68
57578	410	68
57578	420	68
57578	430	68
57578	440	68
57578	450	68
57578	460	68
57578	470	68
57578	480	68
57578	490	68
57578	500	68
57578	510	68
57578	520	68
57578	530	68
57578	540	68
57578	550	68
57578	560	68
57578	570	68
57578	580	68
57578	590	68
57578	600	68
57578	610	68
57578	620	68
57578	630	68
57578	640	68
57578	650	68
57578	660	68
57578	670	68
57578	680	68
57578	690	68
57578	700	68
57578	710	68
57578	720	68
57578	730	68
57578	740	68
57578	750	68
57578	760	68
57578	770	68
57578	780	68
57578	790	68
57578	800	68
57578	810	68
57578	820	68
57578	830	68
57578	840	68
57578	850	68
57578	860	68
57578	870	68
57578	880	68
57578	890	68
57578	900	68
57578	910	68
57578	920	68
57578	930	68
57578	940	68
57578	950	68
57578	960	68
57578	970	68
57578	980	68
57578	990	68
57578	1000	68
57578	1010	68
57578	1020	68
57578	1030	68
57578	1040	68
57578	1050	68
57578	1060	68
57578	1070	68
57578	1080	68
57578	1090	68
57578	1100	68
57578	1110	68
57578	1120	68
57578	1130	68
57578	1140	68
57578	1150	68
57578	1160	68
57578	1170	68
57578	1180	68
57578	1190	68
57578	1200	68
57578	1210	68
57578	1220	68
57578	1230	68
57578	1240	68
57578	1250	68
57578	1260	68
57578	1270	68
57578	1280	68
57578	1290	68
57578	1300	68
57578	1310	68
57578	1320	68
57578	1330	68
57578	1340	68
57578	1350	68
57578	1360	68
57578	1370	68
57578	1380	68
57578	1390	68
57578	1400	68
57578	1410	68
57578	1420	68
57578	1430	68
57578	1440	68
57578	1450	68
57578	1460	68
57578	1470	68
57578	1480	68
57578	1490	68
57578	1500	68
57578	1510	68
57578	1520	68
57578	1530	68
57578	1540	68
57578	1550	68
57578	1560	68
57578	1570	68
57578	1580	68
57578	1590	68
57578	1600	68
57578	1610	68
57578	1620	68
57578	1630	68
57578	1640	68
57578	1650	68
57578	1660	68
57578	1670	68
57578	1680	68
57578	1690	68
57578	1700	68
57578	1710	68
57578	1720	68
57578	1730	68
57578	1740	68
57578	1750	68
57578	1760	68
57578	1770	68
57578	1780	68
57578	1790	68
57578	1800	68
57578	1810	68
57578	1820	68
57578	1830	68
57578	1840	68
57578	1850	68
57578	1860	68
57578	1870	68
57578	1880	68
57578	1890	68
57578	1900	68
57578	1910	68
57578	1920	68
57578	1930	68
57578	1940	68
57578	1950	68
57578	1960	68
57578	1970	68
57578	1980	68
57578	1990	68
57578	2000	68
57578	2010	68
57578	2020	68
57578	2030	68
57578	2040	68
57578	2050	68
57578	2060	68
57578	2070	68
57578	2080	68
57578	2090	68
57578	2100	68
57578	2110	68
57578	2120	68
57578	2130	68
57578	2140	68
57578	2150	68
57578	2160	68
57578	2170	68
57578	2180	68
57578	2190	68
57578	2200	68
57578	2210	68
57578	2220	68
57578	2230	68
57578	2240	68
57578	2250	68
57578	2260	68
57578	2270	68
57578	2280	68
57578	2290	68
57578	2300	68
57578	2310	68
57578	2320	68
57578	2330	68
57578	2340	68
57578	2350	68
57578	2360	68
57578	2370	68
57578	2380	68
57578	2390	68
57578	2400	68
57578	2410	68
57578	2420	68
57578	2430	68
57578	2440	68
57578	2450	68
57578	2460	68
57578	2470	68
57578	2480	68
57578	2490	68
57578	2500	68
57578	2510	68
57578	2520	68
57578	2530	68
57578	2540	68
57578	2550	68
57578	2560	68
57578	2570	68
57578	2580	68
57578	2590	68
57578	2600	68
57578	2610	68
57578	2620	68
57578	2630	68
57578	2640	68
57578	2650	68
57578	2660	68
57578	2670	68
57578	2680	68
57578	2690	68
57578	2700	68
57578	2710	68
57578	2720	68
57578	2730	68
57578	2740	68
57578	2750	68
57578	2760	68
57578	2770	68
57578	2780	68
57578	2790	68
57578	2800	68
57578	2810	68
57578	2820	68
57578	2830	68
57578	2840	68
57578	2850	68
57578	2860	68
57578	2870	68
57578	2880	68
57578	2890	68
57578	2900	68
57578	2910	68
57578	2920	68
57578	2930	68
57578	2940	68
57578	2950	68
57578	2960	68
57578	2970	68
57578	2980	68
57578	2990	68
57578	3000	68
57578	3010	68
57578	3020	68
57578	3030	68
57578	3040	68
57578	3050	68
57578	3060	68
57578	3070	68
57578	3080	68
57578	3090	68
57578	3100	68
57578	3110	68
57578	3120	68
57578	3130	68
57578	3140	68
57578	3150	68
57578	3160	68
57578	3170	68
57578	3180	68
57578	3190	68
57578	3200	68
57578	3210	68
57578	3220	68
57578	3230	68
57578	3240	68
57578	3250	68
57578	3260	68
57578	3270	68
57578	3280	68
57578	3290	68
57578	3300	68
57578	3310	68
57578	3320	68
57578	3330	68
57578	3340	68
57578	3350	68
57578	3360	68
57578	3370	68
57578	3380	68
57578	3390	68
57578	3400	68
57578	3410	68
57578	3420	68
57578	3430	68
57578	3440	68
57578	3450	68
57578	3460	68
57578	3470	68
57578	3480	68
57578	3490	68
57578	3500	68
57578	3510	68
57578	3520	68
57578	3530	68
57578	3540	68
57578	3550	68
57578	3560	68
57578	3570	68
57578	3580	68
57578	3590	68
57578	3600	68
57578	3610	68
57578	3620	68
57578	3630	68
57578	3640	68
57578	3650	68
57578	3660	68
57578	3670	68
57578	3680	68
57578	3690	68
57578	3700	68
57578	3710	68
57578	3720	68
57578	3730	68
57578	3740	68
57578	3750	68
57578	3760	68
57578	3770	68
57578	3780	68
57578	3790	68
57578	3800	68
57578	3810	68
57578	3820	68
57578	3830	68
57578	3840	68
57578	3850	68
57578	3860	68
57578	3870	68
57578	3880	68
57578	3890	68
57578	3900	68
57578	3910	68
57578	3920	68
57578	3930	68
57578	3940	68
57578	3950	68
57578	3960	68
57578	3970	68
57578	3980	68
57578	3990	68
57578	4000	68
57578	4010	68
57578	4020	68
57578	4030	68
57578	4040	68
57578	4050	68
57578	4060	68
57578	4070	68
57578	4080	68
57578	4090	68
57578	4100	68
57578	4110	68
57578	4120	68
57578	4130	68
57578	4140	68
57578	4150	68
57578	4160	68
57578	4170	68
