CIC_MEM_VERS = 1.0
CREATION_DATE  = 2012-03-29T11:35:51.924
ORIGINATOR     = CNES - DCT/SB/MS

META_START

OBJECT_NAME = CIC-Sat
OBJECT_ID = CIC-Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SATELLITE_ECLIPSE
TIME_SYSTEM = UTC

META_STOP

57578 0.00000 1
57578 10.00000 1
57578 20.00000 1
57578 30.00000 1
57578 40.00000 1
57578 50.00000 1
57578 60.00000 1
57578 70.00000 1
57578 80.00000 1
57578 90.00000 1
57578 100.00000 1
57578 110.00000 1
57578 120.00000 1
57578 130.00000 1
57578 140.00000 1
57578 150.00000 1
57578 160.00000 1
57578 170.00000 1
57578 180.00000 1
57578 190.00000 1
57578 200.00000 1
57578 210.00000 1
57578 220.00000 1
57578 230.00000 1
57578 240.00000 1
57578 250.00000 1
57578 260.00000 1
57578 270.00000 1
57578 280.00000 1
57578 290.00000 1
57578 300.00000 1
57578 310.00000 1
57578 320.00000 1
57578 330.00000 1
57578 340.00000 1
57578 350.00000 1
57578 360.00000 1
57578 370.00000 1
57578 380.00000 1
57578 390.00000 1
57578 400.00000 1
57578 410.00000 1
57578 420.00000 1
57578 430.00000 1
57578 440.00000 1
57578 450.00000 1
57578 460.00000 1
57578 470.00000 1
57578 480.00000 1
57578 490.00000 1
57578 500.00000 1
57578 510.00000 1
57578 520.00000 1
57578 530.00000 1
57578 540.00000 1
57578 550.00000 1
57578 560.00000 1
57578 570.00000 1
57578 580.00000 1
57578 590.00000 1
57578 600.00000 1
57578 610.00000 2
57578 620.00000 0
57578 630.00000 0
57578 640.00000 0
57578 650.00000 0
57578 660.00000 0
57578 670.00000 0
57578 680.00000 0
57578 690.00000 0
57578 700.00000 0
57578 710.00000 0
57578 720.00000 0
57578 730.00000 0
57578 740.00000 0
57578 750.00000 0
57578 760.00000 0
57578 770.00000 0
57578 780.00000 0
57578 790.00000 0
57578 800.00000 0
57578 810.00000 0
57578 820.00000 0
57578 830.00000 0
57578 840.00000 0
57578 850.00000 0
57578 860.00000 0
57578 870.00000 0
57578 880.00000 0
57578 890.00000 0
57578 900.00000 0
57578 910.00000 0
57578 920.00000 0
57578 930.00000 0
57578 940.00000 0
57578 950.00000 0
57578 960.00000 0
57578 970.00000 0
57578 980.00000 0
57578 990.00000 0
57578 1000.00000 0
57578 1010.00000 0
57578 1020.00000 0
57578 1030.00000 0
57578 1040.00000 0
57578 1050.00000 0
57578 1060.00000 0
57578 1070.00000 0
57578 1080.00000 0
57578 1090.00000 0
57578 1100.00000 0
57578 1110.00000 0
57578 1120.00000 0
57578 1130.00000 0
57578 1140.00000 0
57578 1150.00000 0
57578 1160.00000 0
57578 1170.00000 0
57578 1180.00000 0
57578 1190.00000 0
57578 1200.00000 0
